season,number_in_season,episode_name,director,writer,us_viewers_millions,imdb_description,imdb_votes,imdb_rating,notable_death_count
3,9,The Rains of Castamere,David Nutter,David Benioff & D. B. Weiss,5.22,Robb and Catelyn arrive at the Twins for the wedding. Jon is put to the test to see where his loyalties truly lie. Bran's group decides to split up. Daenerys plans an invasion of Yunkai.,68630,9.9,8
5,8,Hardhome,Miguel Sapochnik,David Benioff & D. B. Weiss,7.01,Tyrion advises Daenerys. Sansa forces Theon to tell her a secret. Cersei remains stubborn. Arya meets her first target. Jon and Tormund meet with the wildling elders.,71476,9.9,4
6,9,Battle of the Bastards,Miguel Sapochnik,David Benioff & D. B. Weiss,7.66,Jon and Sansa face Ramsay Bolton on the fields of Winterfell. Daenerys strikes back at her enemies. Theon and Yara arrive in Meereen.,159082,9.9,4
6,10,The Winds of Winter,Miguel Sapochnik,David Benioff & D. B. Weiss,8.89,Cersei and Loras Tyrell stand trial by the gods. Daenerys prepares to set sail for Westeros. Davos confronts Melisandre. Sam and Gilly arrive in the Citadel. Bran discovers a long-kept secret. Lord Frey has an uninvited guest.,109392,9.9,11
